"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.040240420E2,6.504266687E1,2.550996655E1,1.990413897E1,8.886286341E-1,7.613067854E1,4.645108834E0,3.499642976E0
1.050240378E2,6.504267155E1,2.550999388E1,2.044570131E1,8.907534921E-1,7.729883729E1,4.645211684E0,3.499506457E0
1.060240332E2,6.504267438E1,2.551002748E1,2.030195973E1,1.011636324E0,8.294830701E1,4.642730614E0,3.502797380E0
1.070240284E2,6.504267883E1,2.551006139E1,2.057860465E1,1.151197560E0,8.047206661E1,4.639482674E0,3.507098167E0
1.080240240E2,6.504268083E1,2.551009430E1,2.064713012E1,1.256862823E0,8.425392994E1,4.638525115E0,3.508364547E0
1.090240208E2,6.504268094E1,2.551011587E1,2.028610043E1,9.967958378E-1,8.830321899E1,4.635741181E0,3.512042245E0
1.100240166E2,6.504268895E1,2.551014132E1,2.040974778E1,9.774038992E-1,7.612936315E1,4.637685589E0,3.509474235E0
1.110240120E2,6.504269298E1,2.551017447E1,2.044077827E1,1.084688995E0,7.771770088E1,4.640360752E0,3.505936269E0
1.120240079E2,6.504269536E1,2.551020961E1,2.087550887E1,1.232179423E0,8.156055669E1,4.640492708E0,3.505761610E0
1.130240047E2,6.504269744E1,2.551024654E1,2.061596751E1,1.293208668E0,8.533571556E1,4.640923829E0,3.505190871E0
1.140240005E2,6.504270155E1,2.551027151E1,2.056903482E1,1.052303491E0,8.281031996E1,4.641341313E0,3.504638048E0
1.150239962E2,6.504270641E1,2.551031277E1,2.040475048E1,1.273792920E0,8.100391589E1,4.633246048E0,3.515333284E0
1.160239913E2,6.504271066E1,2.551033489E1,2.007286926E1,1.018498255E0,7.677279631E1,4.633234336E0,3.515348720E0
1.170239878E2,6.504271619E1,2.551035768E1,2.044065248E1,8.754512024E-1,7.292405211E1,4.633640883E0,3.514812825E0
1.180239828E2,6.504271784E1,2.551039442E1,2.028866947E1,1.006280996E0,7.960033132E1,4.634402704E0,3.513808277E0
1.190239788E2,6.504272166E1,2.551042810E1,2.031452283E1,1.169016746E0,7.857409910E1,4.634156557E0,3.514132900E0
1.200239751E2,6.504272475E1,2.551045786E1,2.005611414E1,1.145673639E0,7.852571471E1,4.636667377E0,3.510819372E0
1.210239716E2,6.504272810E1,2.551048715E1,2.010370759E1,1.159473679E0,7.696021092E1,4.633028796E0,3.515619605E0
1.220239663E2,6.504273037E1,2.551051673E1,2.047021406E1,1.140387239E0,7.910682373E1,4.629388290E0,3.520412063E0
1.230239630E2,6.504273531E1,2.551054652E1,2.068828623E1,1.154404603E0,7.558848039E1,4.628367182E0,3.521754430E0
1.240239582E2,6.504274116E1,2.551056391E1,2.083330855E1,9.438064012E-1,6.747926715E1,4.631375667E0,3.517797104E0
1.250239539E2,6.504274449E1,2.551060001E1,2.100413552E1,1.117955697E0,7.268296439E1,4.629588235E0,3.520149117E0
1.260239491E2,6.504274894E1,2.551063614E1,2.104392143E1,1.172453985E0,7.377015127E1,4.626052721E0,3.524794073E0
1.270239451E2,6.504275477E1,2.551066583E1,2.090318630E1,1.177516381E0,6.866954607E1,4.623683895E0,3.527900830E0
1.280239414E2,6.504275921E1,2.551069379E1,2.123304750E1,1.090259839E0,6.868365667E1,4.623536307E0,3.528094252E0
1.290239371E2,6.504276256E1,2.551072223E1,2.129826994E1,1.015385577E0,7.299311999E1,4.619767025E0,3.533028399E0
