"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.204828167E0,-4.602081046E-1,-8.375589707E-1,-9.643415165E-1
3.214820167E0,-4.344669802E-1,-7.930663374E-1,-1.224370705E0
3.224812167E0,-3.958600080E-1,-7.609984526E-1,-1.410148441E0
3.234803167E0,-3.491575657E-1,-7.648792496E-1,-1.549261887E0
3.244795167E0,-2.906577445E-1,-7.341734737E-1,-1.609436753E0
3.254787167E0,-1.720854935E-1,-6.740342760E-1,-1.627572477E0
3.264779167E0,-5.873140745E-2,-6.388577190E-1,-1.617573738E0
3.274771167E0,-1.646970615E-2,-5.636394292E-1,-1.631242774E0
3.284763167E0,1.331692401E-2,-5.457311618E-1,-1.643257633E0
3.294754167E0,-3.115085866E-2,-4.886670148E-1,-1.632437360E0
3.304746167E0,-3.489026271E-2,-4.069963226E-1,-1.613944956E0
3.314738167E0,-6.333718613E-2,-3.128526422E-1,-1.605955321E0
3.324730167E0,-8.363199458E-2,-2.249330306E-1,-1.612400122E0
3.334722167E0,-1.262737283E-1,-1.626888353E-1,-1.586565953E0
3.344713167E0,-2.053788817E-1,-8.916331440E-2,-1.539865996E0
3.354704125E0,-2.782776541E-1,-5.010479093E-2,-1.415405672E0
3.364696125E0,-3.516228249E-1,-1.722005010E-4,-1.224628567E0
3.374688125E0,-3.605078883E-1,2.632416487E-2,-9.569740248E-1
3.384680125E0,-3.805715125E-1,4.973700106E-2,-6.155720598E-1
3.394672125E0,-3.621414177E-1,9.030878395E-2,-2.705857515E-1
3.404663125E0,-3.055362406E-1,8.143972725E-2,4.232448578E-2
3.414655125E0,-2.354207245E-1,9.878724664E-2,3.522421181E-1
3.424647125E0,-2.091634189E-1,1.405530310E-1,6.077326977E-1
3.434639125E0,-1.991631635E-1,1.265305308E-1,7.286285591E-1
3.444631125E0,-2.563118210E-1,1.951584238E-1,7.583242285E-1
3.454623125E0,-4.042213802E-1,3.391271058E-1,7.286513633E-1
3.464614125E0,-5.025267066E-1,4.705485401E-1,7.166107768E-1
3.474606125E0,-5.921441670E-1,6.867174715E-1,7.392897874E-1
3.484598125E0,-6.990105115E-1,9.332337445E-1,8.798802406E-1
3.494590125E0,-6.761138383E-1,1.049842135E0,1.163402957E0
3.504582125E0,-5.363395102E-1,1.071889646E0,1.518963370E0
3.514574125E0,-3.413074229E-1,1.038766339E0,1.934812084E0
3.524565125E0,-1.185512467E-1,9.276210022E-1,2.303670820E0
3.534557125E0,8.233488115E-2,7.436825082E-1,2.551783968E0
3.544549125E0,2.266835956E-1,5.831293684E-1,2.680288226E0
3.554541125E0,3.447535890E-1,3.979749459E-1,2.705149418E0
3.564533125E0,4.408059467E-1,2.205876723E-1,2.556029046E0
3.574524125E0,4.969375359E-1,1.891758451E-1,2.335349865E0
3.584516125E0,5.512769535E-1,1.617760849E-1,2.082901007E0
3.594508125E0,6.278612260E-1,1.314962786E-1,1.778061681E0
3.604500125E0,7.217144459E-1,1.016708010E-1,1.442693458E0
3.614492125E0,7.415627463E-1,1.204383168E-1,1.102207167E0
3.624484125E0,7.407771729E-1,1.034071317E-1,6.953812909E-1
3.634475125E0,7.034519834E-1,1.751474977E-2,2.754652530E-1
3.644467125E0,6.651899969E-1,-3.851385534E-2,-1.215507495E-1
3.654459125E0,6.189923155E-1,-1.140560809E-1,-4.310450435E-1
3.664451125E0,5.975336187E-1,-2.130587974E-1,-6.694991755E-1
3.674443125E0,5.912917160E-1,-3.082102454E-1,-8.018193269E-1
3.684434125E0,5.605389797E-1,-3.866632149E-1,-8.261589468E-1
3.694426125E0,5.725282568E-1,-4.604275945E-1,-8.060234749E-1
3.704418125E0,6.030653771E-1,-5.736185798E-1,-8.027607286E-1
3.714410125E0,6.059570445E-1,-6.243238798E-1,-8.026624954E-1
3.724402125E0,5.845209327E-1,-6.754899403E-1,-8.790148526E-1
3.734394125E0,5.392259517E-1,-7.244159326E-1,-1.034798711E0
3.744385125E0,4.451486007E-1,-6.400727704E-1,-1.223286631E0
3.754377125E0,3.155221520E-1,-5.290686437E-1,-1.397339530E0
3.764369125E0,2.136196368E-1,-4.647238362E-1,-1.570545167E0
3.774361125E0,1.418280894E-1,-4.158300036E-1,-1.722731819E0
3.784353125E0,6.727215670E-2,-3.898154488E-1,-1.809384631E0
3.794345125E0,2.372401542E-2,-3.392212459E-1,-1.840250328E0
3.804336125E0,2.764917591E-3,-3.032977071E-1,-1.861341820E0
3.814328125E0,1.258036784E-2,-2.549233997E-1,-1.842696218E0
3.824320125E0,1.922890900E-2,-2.211487126E-1,-1.865169407E0
